symbol,direction,confidence,raw_confidence,entry_date,entry_price,exit_date,exit_price,stop_loss,target,pnl_pct,exit_reason
RELIANCE,BUY,0.5928,0.8045,2025-07-24 00:00:00+05:30,1390.89,2025-07-31 00:00:00+05:30,1370.43,1370.43,1442.04,-1.471,stop_loss
RELIANCE,BUY,0.5637,0.7693,2025-08-01 00:00:00+05:30,1381.77,2025-08-07 00:00:00+05:30,1361.31,1361.31,1432.91,-1.481,stop_loss
RELIANCE,BUY,0.61,0.8211,2025-08-08 00:00:00+05:30,1356.09,2025-08-18 00:00:00+05:30,1375.34,1335.63,1407.24,1.42,max_hold
RELIANCE,BUY,0.5162,0.6879,2025-08-20 00:00:00+05:30,1406.5,2025-08-26 00:00:00+05:30,1386.04,1386.04,1457.64,-1.455,stop_loss
RELIANCE,SELL,0.583,0.7777,2025-08-28 00:00:00+05:30,1379.52,2025-09-04 00:00:00+05:30,1353.04,1399.98,1328.37,1.919,max_hold
RELIANCE,SELL,0.5917,0.7826,2025-10-24 00:00:00+05:30,1444.92,2025-10-27 00:00:00+05:30,1466.86,1466.86,1390.07,-1.519,stop_loss
RELIANCE,BUY,0.6368,0.8598,2025-10-28 00:00:00+05:30,1480.06,2025-11-04 00:00:00+05:30,1466.32,1458.12,1534.91,-0.928,max_hold
RELIANCE,SELL,0.5399,0.6777,2025-11-06 00:00:00+05:30,1489.21,2025-11-12 00:00:00+05:30,1511.16,1511.16,1434.36,-1.473,stop_loss
RELIANCE,SELL,0.5215,0.6586,2025-11-24 00:00:00+05:30,1528.83,2025-11-25 00:00:00+05:30,1550.77,1550.77,1473.98,-1.435,stop_loss
RELIANCE,SELL,0.6346,0.8481,2025-12-01 00:00:00+05:30,1558.89,2025-12-08 00:00:00+05:30,1535.9,1580.83,1504.04,1.475,max_hold
RELIANCE,BUY,0.7169,0.9272,2025-12-10 00:00:00+05:30,1529.83,2025-12-10 00:00:00+05:30,1529.83,1507.89,1584.68,0.0,end_of_period
RELIANCE,BUY,0.7442,0.9408,2026-01-22 00:00:00+05:30,1396.05,2026-01-27 00:00:00+05:30,1373.01,1373.01,1453.64,-1.65,stop_loss
